评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件
屏幕显示细腻，追剧时色彩鲜艳又不刺眼，手感也舒服，轻薄机身单手握久了也不累。最意外的是拍照，主摄拍风景清晰有质感，夜景噪点控制得很好，随手拍都能发朋友圈。,5,已购 樱花金 12GB+256GB,f***n,63,屏幕显示细腻追剧时色彩鲜艳又不刺眼手感也舒服轻薄机身单手握久了也不累最意外的是拍照主摄拍风景清晰有质感夜景噪点控制得很好随手拍都能发朋友圈,屏幕显示 细腻 追剧 色彩鲜艳 刺眼 手感 舒服 轻薄 机身 手握 不累 意外 拍照 主摄 风景 清晰 质感 夜景 噪点 控制 随手 能发 朋友圈,商品3.csv
非常不错的手机，而且性价比极高，不换拿来看电影还是玩游戏，都效果很好，运行速度也非常得快，音质也很好。很喜欢的。。。。。,5,已购 樱花金 12GB+256GB,人生只如初见0丶,64,非常不错的手机而且性价比极高不换拿来看电影还是玩游戏都效果很好运行速度也非常得快音质也很好很喜欢的,非常 不错 手机 而且 性价比 极高 不换 来看 电影 还是 玩游戏 效果 运行 速度 非常 音质 喜欢,商品3.csv
包装完好，物流给力，次日达，品牌正品，售后无忧，价格比实体店还优惠，物美价廉，续航能力强，自用送人两相宜，有需要还会复购的！,5,已购 樱花金 12GB+256GB,y***S,65,包装完好物流给力次日达品牌正品售后无忧价格比实体店还优惠物美价廉续航能力强自用送人两相宜有需要还会复购的,包装 完好 物流 给力 次日 品牌 正品 售后 无忧 价格比 实体店 优惠 物美价廉 续航 能力 自用 送人 两相宜 需要 还会 复购,商品3.csv
趁活动赶紧拍下，发货速度也是挺快的，拿在手上，手感也是挺好的，最主要还是活动期间买的性价比是比较高的,5,已购 黑色 12GB+256GB,u***o,66,趁活动赶紧拍下发货速度也是挺快的拿在手上手感也是挺好的最主要还是活动期间买的性价比是比较高的,活动 赶紧 发货 速度 挺快 拿在手上 手感 主要 还是 活动 期间 性价比 比较,商品3.csv
"这款手机太值了！颜值超高，手感顺滑，拿在手里特
别舒服。屏幕显示清晰，色彩饱满，看视频超爽。性价比很高。",5,已购 樱花金 12GB+256GB,晓牛青,67,"这款手机太值了颜值超高手感顺滑拿在手里特
别舒服屏幕显示清晰色彩饱满看视频超爽性价比很高",手机 太值 颜值 超高 手感 顺滑 手里 舒服 屏幕显示 清晰 色彩 饱满 视频 超爽 性价比,商品3.csv
手机质量很好，屏幕清晰度高，运行速度快。卖家服务态度很好，有问必答。发货速度很快，包装完好无损。非常满意这次购物体验！,5,已购 黑色 12GB+256GB,马***0,68,手机质量很好屏幕清晰度高运行速度快卖家服务态度很好有问必答发货速度很快包装完好无损非常满意这次购物体验,手机 质量 屏幕 清晰度 运行 速度 卖家 服务态度 有问必答 发货 速度 很快 包装 完好无损 非常 满意 这次 购物 体验,商品3.csv
正常情况下使用会微发烫，玩游戏时间长发烫就越大，电池平时使用待机还是很长的，前提是少刷视屏游戏的时候，充电很快，总的来说还可以,3,已购 白色 16GB+256GB,j***n,69,正常情况下使用会微发烫玩游戏时间长发烫就越大电池平时使用待机还是很长的前提是少刷视屏游戏的时候充电很快总的来说还可以,正常 情况 使用 会微 发烫 玩游戏 时间 长发 电池 平时 使用 待机 还是 很长 前提 少刷 视屏 游戏 时候 充电 很快 总的来说 可以,商品3.csv
手机的性价比很高，屏幕显示细腻。待机时间长，手感超棒。活动价购买的，还有赠品，非常划算。,5,已购 白色 12GB+256GB,hh6601,71,手机的性价比很高屏幕显示细腻待机时间长手感超棒活动价购买的还有赠品非常划算,手机 性价比 屏幕显示 细腻 待机时间 手感 超棒 活动 购买 还有 赠品 非常 划算,商品3.csv
非常满意！手机运行流畅一点也不卡顿，外观时尚手感很好，拍照像素清晰，续航给力，物超所值！,5,已购 白色 12GB+256GB,9uho4033acqd6l,72,非常满意手机运行流畅一点也不卡顿外观时尚手感很好拍照像素清晰续航给力物超所值,非常 满意 手机 运行 流畅 一点 不卡顿 外观 时尚 手感 拍照 像素 清晰 续航 给力 物超所值,商品3.csv
用了很多天了，感觉质量还是可以的，这次是金属中框～，并且最近手机掉地上好几次，拿起来完好无损,5,已购 白色 16GB+256GB,天***4,73,用了很多天了感觉质量还是可以的这次是金属中框并且最近手机掉地上好几次拿起来完好无损,很多 感觉 质量 还是 可以 这次 金属 中框 并且 最近 手机 地上 几次 起来 完好无损,商品3.csv
这手机用着太香啦📱！系统流畅得一批，刷剧打游戏都不卡，电池也超耐用，一天一充完全够，爱了爱了,5,已购 黑色 12GB+256GB,w***j,74,这手机用着太香啦系统流畅得一批刷剧打游戏都不卡电池也超耐用一天一充完全够爱了爱了,手机 太香 系统 流畅 一批 刷剧 打游戏 不卡 电池 耐用 一天 一充 完全,商品3.csv
外观大气，非常时尚，屏幕清晰，反应灵敏，拍照效果很棒，不卡顿，电池耐用，性价比高，爱了爱了,5,已购 黑色 12GB+256GB,独***风,75,外观大气非常时尚屏幕清晰反应灵敏拍照效果很棒不卡顿电池耐用性价比高爱了爱了,外观 大气 非常 时尚 屏幕 清晰 反应 灵敏 拍照 效果 很棒 不卡顿 电池 耐用 性价比 高爱,商品3.csv
手机颜值高，运行流畅不卡，触屏灵敏，拍照清晰声音大，续航时间长，性价比高非常实用，很满意的一次购物,5,已购 黑色 12GB+256GB,n***9,76,手机颜值高运行流畅不卡触屏灵敏拍照清晰声音大续航时间长性价比高非常实用很满意的一次购物,手机 颜值 运行 流畅 不卡触 灵敏 拍照 清晰 声音 续航 时间 性价比 非常 实用 满意 一次 购物,商品3.csv
机子很漂亮手感不错，用起来非常流畅，打游戏超爽体验感很好，功能很齐全，性价比高很超值,5,已购 白色 12GB+256GB,j***3,77,机子很漂亮手感不错用起来非常流畅打游戏超爽体验感很好功能很齐全性价比高很超值,机子 很漂亮 手感 不错 起来 非常 流畅 打游戏 超爽 体验 功能 齐全 性价比 超值,商品3.csv
手机质量很好，屏幕清晰度高，运行速度快。卖家服务态度很好，有问必答。发货速度很快，包装完好,5,已购 黑色 12GB+256GB,j***2,78,手机质量很好屏幕清晰度高运行速度快卖家服务态度很好有问必答发货速度很快包装完好,手机 质量 屏幕 清晰度 运行 速度 卖家 服务态度 有问必答 发货 速度 很快 包装 完好,商品3.csv
这个手机物流很快，昨天下单的，今天早上就发了，手机运行速度很快，打游戏一点不卡，很喜欢,5,已购 黑色 12GB+256GB,j***e,79,这个手机物流很快昨天下单的今天早上就发了手机运行速度很快打游戏一点不卡很喜欢,这个 手机 物流 很快 昨天 下单 今天 早上 手机 运行 速度 很快 打游戏 一点 不卡 喜欢,商品3.csv
手机收到了，实物比图片更漂亮。卖家很负责，详细介绍了手机的各种功能和使用方法。发货速度快，物流也很给力。非常满意！,5,已购 黑色 12GB+256GB,z***2,80,手机收到了实物比图片更漂亮卖家很负责详细介绍了手机的各种功能和使用方法发货速度快物流也很给力非常满意,手机 收到 实物 图片 漂亮 卖家 负责 详细 介绍 手机 各种 功能 使用 方法 发货 速度 物流 非常 满意,商品3.csv
红米Turbo4 Pro真的让人惊喜！性能方面搭载骁龙旗舰芯片，日常使用和游戏运行都非常流畅,5,已购 黑色 12GB+256GB,jd_vc26wcz0cfp0ma,81,红米 真的让人惊喜性能方面搭载骁龙旗舰芯片日常使用和游戏运行都非常流畅,红米 真的 惊喜 性能 方面 搭载 骁龙 旗舰 芯片 日常 使用 游戏 运行 非常 流畅,商品3.csv
6月13号下单的6月16号到的。还送了一个小米充电宝。用了一天多，电池感觉很耐用。充电的话，26充到100大概50分。手机背部还有灯效，各种颜色轮流切换。目前用着还很好。,5,已购 白色 16GB+1024GB,赵***鬭,82,月号下单的月号到的还送了一个小米充电宝用了一天多电池感觉很耐用充电的话充到大概分手机背部还有灯效各种颜色轮流切换目前用着还很好,下单 一个 小米 充电 宝用 一天 电池 感觉 耐用 充电 的话 大概 手机 背部 还有 灯效 各种 颜色 轮流 切换 目前,商品3.csv
手机颜值高，像素高，还添加广角摄像头，拍照超好看，前摄像头自拍超清晰超美。性能更不用说，打游戏各方面杠杠的，作为十五年老米粉手机发烫得到了很好解决。值得购买，性价比也高。,5,已购 白色 12GB+256GB,j***v,83,手机颜值高像素高还添加广角摄像头拍照超好看前摄像头自拍超清晰超美性能更不用说打游戏各方面杠杠的作为十五年老米粉手机发烫得到了很好解决值得购买性价比也高,手机 颜值 高像素 添加 广角 摄像头 拍照 好看 摄像头 自拍超 清晰 超美 性能 不用说 打游戏 方面 杠杠 作为 十五年 米粉 手机 发烫 得到 解决 值得 购买 性价比,商品3.csv
发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评~,5,已购 黑色 12GB+256GB,我***哥,84,发货很快已经收到货了商品和描述的差不多质量没问题关键价格也合适在这里买还是很放心的好评,发货 很快 已经 收到 商品 描述 差不多 质量 问题 关键 价格 合适 这里 还是 放心 好评,商品3.csv
手机速度快，运行流畅屏幕刷新率高，电池容量很大够用，外观白色的很喜欢，操作起来顺滑，很喜欢,5,已购 白色 12GB+256GB,m***p,85,手机速度快运行流畅屏幕刷新率高电池容量很大够用外观白色的很喜欢操作起来顺滑很喜欢,手机 速度 运行 流畅 屏幕 刷新率 电池容量 很大 够用 外观 白色 喜欢 操作 起来 顺滑 喜欢,商品3.csv
"很好
外形外观：我外观中框感觉就跟苹果一样 
屏幕音效：屏幕很不错 又很流畅 
以旧换新：为此省下不少钱",5,已购 黑色 12GB+256GB,j***9,86,"很好
外形外观我外观中框感觉就跟苹果一样 
屏幕音效屏幕很不错 又很流畅 
以旧换新为此省下不少钱",外形 外观 外观 中框 感觉 苹果 一样 屏幕 音效 屏幕 不错 流畅 以旧换新 为此 省下 不少,商品3.csv
手机设计很好看，手感也不错，用起来很顺手。屏幕显示效果很好，色彩很鲜艳，看电影和办公都很舒服。,5,已购 白色 12GB+256GB,廖***进,87,手机设计很好看手感也不错用起来很顺手屏幕显示效果很好色彩很鲜艳看电影和办公都很舒服,手机 设计 好看 手感 不错 起来 顺手 屏幕显示 效果 色彩 鲜艳 电影 办公 舒服,商品3.csv
手机用着很顺手，也很流畅！电量一天根本就用不完，商家还送了小米耳机！性价比太高了好评！,5,已购 黑色 12GB+256GB,j***2,88,手机用着很顺手也很流畅电量一天根本就用不完商家还送了小米耳机性价比太高了好评,手机 顺手 流畅 电量 一天 根本 用不完 商家 小米 耳机 性价比 太高 好评,商品3.csv
手机颜值很高，大小正合适，孩子很喜欢，玩了两天打游戏一点不卡，很流畅很好的一次购物体验,5,已购 黑色 12GB+256GB,j***x,89,手机颜值很高大小正合适孩子很喜欢玩了两天打游戏一点不卡很流畅很好的一次购物体验,手机 颜值 大小 正合适 孩子 喜欢 两天 打游戏 一点 不卡 流畅 一次 购物 体验,商品3.csv
手机颜值很高，大屏看着很舒适，护眼效果好，电池耐用，很流畅。,5,已购 白色 12GB+256GB,随运而安952,90,手机颜值很高大屏看着很舒适护眼效果好电池耐用很流畅,手机 颜值 高大 看着 舒适 护眼 效果 电池 耐用 流畅,商品3.csv
"手机运行流畅，超出预期，整体体验很棒，功能齐全，
屏幕清晰，反应灵敏，性价比高！",5,已购 白色 12GB+256GB,欣颖欣欣,91,"手机运行流畅超出预期整体体验很棒功能齐全
屏幕清晰反应灵敏性价比高",手机 运行 流畅 超出 预期 整体 体验 很棒 功能齐全 屏幕 清晰 反应 灵敏 性价比,商品3.csv
发货很快，包装的很好，价格也特别实惠，画面质量很好，系统反应速度很快，值得购买,5,已购 黑色 12GB+256GB,jd_1umyvvrb77fniz,92,发货很快包装的很好价格也特别实惠画面质量很好系统反应速度很快值得购买,发货 很快 包装 价格 特别 实惠 画面质量 系统 反应速度 很快 值得 购买,商品3.csv
手机蛮好用的，做工精细，运行流畅，性价比很高的一款手机！,5,已购 樱花金 12GB+256GB,夏***泳,93,手机蛮好用的做工精细运行流畅性价比很高的一款手机,手机 做工 精细 运行 流畅 性价比 一款 手机,商品3.csv
手机收到了，时尚好看，反应速度快，充电也很快，满意。,5,已购 白色 12GB+256GB,路子韩,94,手机收到了时尚好看反应速度快充电也很快满意,手机 收到 时尚 好看 反应速度快 充电 很快 满意,商品3.csv
买来做备用机的，有点果里果气，拍摄跟苹果没得比，但是续航非常给力,5,已购 黑色 12GB+256GB,j***v,95,买来做备用机的有点果里果气拍摄跟苹果没得比但是续航非常给力,买来 备用机 有点 果里果 拍摄 苹果 没得 但是 续航 非常 给力,商品3.csv
颜值耐看，设计简单，用起来手感不错，喜欢,5,已购 黑色 12GB+256GB,jd_7981601,96,颜值耐看设计简单用起来手感不错喜欢,颜值 耐看 设计 简单 起来 手感 不错 喜欢,商品3.csv
满分，大屏直角金属边框，手感丝滑。运行流畅，拍照效果日常足够,5,已购 白色 12GB+256GB,向阳李hdq,97,满分大屏直角金属边框手感丝滑运行流畅拍照效果日常足够,满分 大屏 直角 金属 边框 手感 丝滑 运行 流畅 拍照 效果 日常 足够,商品3.csv
给女儿买的，颜色她很喜欢，手感很好，新机运行速度非常快。很不错！,5,已购 樱花金 12GB+256GB,jd建福,98,给女儿买的颜色她很喜欢手感很好新机运行速度非常快很不错,女儿 颜色 喜欢 手感 新机 运行 速度 非常 不错,商品3.csv
物流非常快，包装也很好，各方面性能非常棒，值得购买,5,已购 白色 12GB+256GB,u***c,99,物流非常快包装也很好各方面性能非常棒值得购买,物流 非常 包装 方面 性能 非常 值得 购买,商品3.csv
手机不错，质量很好，玩游戏不卡，价格实惠，买的很值,5,已购 白色 12GB+256GB,j***g,100,手机不错质量很好玩游戏不卡价格实惠买的很值,手机 不错 质量 好玩 游戏 不卡 价格 实惠 很值,商品3.csv
包装完好无损，价格实惠，运行流畅，设计精美，音质清晰,5,已购 黑色 12GB+256GB,秀秀yang85,101,包装完好无损价格实惠运行流畅设计精美音质清晰,包装 完好无损 价格 实惠 运行 流畅 设计 精美 音质 清晰,商品3.csv
完美，屏幕清晰细腻，操作也很流畅，性价比超高。,5,已购 白色 12GB+256GB,勇勇222,102,完美屏幕清晰细腻操作也很流畅性价比超高,完美 屏幕 清晰 细腻 操作 流畅 性价比 超高,商品3.csv
手机很不错，系统流畅不卡顿，玩游戏看视频都很好用。,5,已购 白色 12GB+256GB,阿玲6666,103,手机很不错系统流畅不卡顿玩游戏看视频都很好用,手机 不错 系统 流畅 不卡顿 玩游戏 视频,商品3.csv
性价比很高，外观时尚大方，运行速度快，拍照清晰，完美,5,已购 白色 12GB+256GB,一***言,104,性价比很高外观时尚大方运行速度快拍照清晰完美,性价比 外观 时尚 大方 运行 速度 拍照 清晰 完美,商品3.csv
红米Turbo 4 Pro太香了！质感远超价位。6.83英寸直屏视野超棒,5,已购 黑色 12GB+256GB,j***J,105,红米  太香了质感远超价位英寸直屏视野超棒,红米 太香 质感 远超 价位 英寸 直屏 视野 超棒,商品3.csv
手机收到了，手感很好，系统和运行很流畅，推荐,5,已购 白色 12GB+256GB,下雪的白天和夜里,106,手机收到了手感很好系统和运行很流畅推荐,手机 收到 手感 系统 运行 流畅 推荐,商品3.csv
白色的颜色很好看，很有质感，充电速度快，操作流程，大电池很耐用，好用。,5,已购 白色 12GB+256GB,璐璐大王0715,107,白色的颜色很好看很有质感充电速度快操作流程大电池很耐用好用,白色 颜色 好看 质感 充电 速度 操作 流程 电池 耐用 好用,商品3.csv
外放声音大，物流速度快，运行速度非常满意,5,已购 白色 12GB+256GB,bbjbtt,108,外放声音大物流速度快运行速度非常满意,外放 声音 物流 速度 运行 速度 非常 满意,商品3.csv
手机这个颜色好漂亮啊，屏幕音效都不错，拍照效果也好，电池续航能力强，满意！,5,已购 樱花金 12GB+256GB,jd_38u3vdbyp3i8fh,109,手机这个颜色好漂亮啊屏幕音效都不错拍照效果也好电池续航能力强满意,手机 这个 颜色 漂亮 屏幕 音效 不错 拍照 效果 也好 电池 续航 能力 满意,商品3.csv
手机很流畅，电池耐用，金属中框手感很好，性价比很高，一直用小米设备，很满意。,5,已购 白色 12GB+256GB,东东2043,110,手机很流畅电池耐用金属中框手感很好性价比很高一直用小米设备很满意,手机 流畅 电池 耐用 金属 中框 手感 性价比 一直 小米 设备 满意,商品3.csv
发货速度非常快，运行游戏很流畅，非常满意,5,已购 白色 12GB+256GB,2***3,111,发货速度非常快运行游戏很流畅非常满意,发货 速度 非常 运行 游戏 流畅 非常 满意,商品3.csv
膜不错😊手感也好，清晰丝滑很棒,5,已购 黑色 16GB+1024GB,b***a,112,膜不错手感也好清晰丝滑很棒,不错 手感 也好 清晰 丝滑 很棒,商品3.csv
外观很好看，手感很好，手机像素也很好，有广角等，待机时间长，推荐购买,5,已购 白色 12GB+256GB,雨清波,113,外观很好看手感很好手机像素也很好有广角等待机时间长推荐购买,外观 好看 手感 手机 像素 广角 待机时间 推荐 购买,商品3.csv
物流还是很快的，京东有券买的性价比还可以，颜色也很漂亮，效果也不错。,5,已购 白色 12GB+256GB,李***8,114,物流还是很快的京东有券买的性价比还可以颜色也很漂亮效果也不错,物流 还是 很快 京东 有券 性价比 可以 颜色 很漂亮 效果 不错,商品3.csv
手机续航非常出色，长时间使用无需频繁充电，满足了日常需求，很棒！,5,已购 黑色 12GB+256GB,jd_06hqevsxfh200a,115,手机续航非常出色长时间使用无需频繁充电满足了日常需求很棒,手机 续航 非常 出色 长时间 使用 无需 频繁 充电 满足 日常 需求 很棒,商品3.csv
手机不错，价格便宜，手感也好，续航没问题，信号强推荐购买,5,已购 黑色 12GB+256GB,jd_c3sl4h19o0txn4,116,手机不错价格便宜手感也好续航没问题信号强推荐购买,手机 不错 价格便宜 手感 也好 续航 问题 信号 推荐 购买,商品3.csv
这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买,5,已购 白色 12GB+256GB,d9409i6xiizp4i,117,这个是真的好材料和做工都特别精致做工真的非常棒我觉着我可以推荐给我朋友买,这个 真的 材料 做工 特别 精致 做工 真的 非常 觉着 可以 推荐 朋友,商品3.csv
性价比高，手机拿起来感觉蛮好的。,5,已购 白色 12GB+256GB,j***r,118,性价比高手机拿起来感觉蛮好的,性价比 手机 起来 感觉,商品3.csv
手机不错，电池比较大，运行流畅，价格给力，拍照比较清晰，很满意,5,已购 白色 12GB+256GB,羽化思,119,手机不错电池比较大运行流畅价格给力拍照比较清晰很满意,手机 不错 电池 比较 运行 流畅 价格 给力 拍照 比较 清晰 满意,商品3.csv
手机屏幕清晰度高，运行速度快。客服服务态度很好，发货速度很快,5,已购 白色 12GB+256GB,欧***n,120,手机屏幕清晰度高运行速度快客服服务态度很好发货速度很快,手机 屏幕 清晰度 运行 速度 客服 服务态度 发货 速度 很快,商品3.csv
拍照很清晰  操作很顺畅  运行速度也很快性价比很高,5,已购 白色 12GB+256GB,jd_150646jae,121,拍照很清晰  操作很顺畅  运行速度也很快性价比很高,拍照 清晰 操作 顺畅 运行 速度 很快 性价比,商品3.csv
这次购物非常满意，商品性价比高，质量可靠。物流高效，商家服务周到，售后完善。手机使用效果很好！,5,已购 黑色 12GB+256GB,马***3,122,这次购物非常满意商品性价比高质量可靠物流高效商家服务周到售后完善手机使用效果很好,这次 购物 非常 满意 商品 性价比 高质量 可靠 物流 高效 商家 服务周到 售后 完善 手机 使用 效果,商品3.csv
手机外观很漂亮，拍照效果好，电池很耐用，千元机很划算了！,5,已购 樱花金 12GB+256GB,jd_u2s32p09s7g2u7,123,手机外观很漂亮拍照效果好电池很耐用千元机很划算了,手机 外观 很漂亮 拍照 效果 电池 耐用 千元 划算,商品3.csv
手机非常大气，外观很轻薄。玩游戏很流畅,5,已购 黑色 12GB+256GB,jd_x51896tjox311s,124,手机非常大气外观很轻薄玩游戏很流畅,手机 非常 大气 外观 轻薄 玩游戏 流畅,商品3.csv
大小适中，舒适度很高，性价比很高，强烈推荐。,5,已购 黑色 12GB+256GB,陈***6,125,大小适中舒适度很高性价比很高强烈推荐,大小 适中 舒适度 高性价比 强烈推荐,商品3.csv
屏幕显示效果惊艳，色彩饱满且细节丰富，带来极致的视觉感受,4,已购 黑色 12GB+256GB,宁***3,126,屏幕显示效果惊艳色彩饱满且细节丰富带来极致的视觉感受,屏幕显示 效果 惊艳 色彩 饱满 细节 丰富 带来 极致 视觉 感受,商品3.csv
手机是买给家里人的，客服态度巨好，我说没有送的耳机，他直接说给我补发，很喜欢，好评,5,已购 樱花金 12GB+256GB,TCH1214,127,手机是买给家里人的客服态度巨好我说没有送的耳机他直接说给我补发很喜欢好评,手机 家里人 客服 态度 巨好 没有 耳机 直接 补发 喜欢 好评,商品3.csv
手机到货速度很快，外观非常漂亮，屏幕显示看上去叶狠舒服,5,已购 黑色 12GB+256GB,jd_153271mid,128,手机到货速度很快外观非常漂亮屏幕显示看上去叶狠舒服,手机 到货 速度 很快 外观 非常 漂亮 屏幕显示 看上去 叶狠 舒服,商品3.csv
手感不错，颜值也挺高的，价位很漂亮，满意,5,已购 黑色 12GB+256GB,jd_d7104p7rd3y584,129,手感不错颜值也挺高的价位很漂亮满意,手感 不错 颜值 价位 很漂亮 满意,商品3.csv
手机运行流畅，卖家发货很快，千元机性价比很高！,5,已购 黑色 12GB+256GB,-***-,130,手机运行流畅卖家发货很快千元机性价比很高,手机 运行 流畅 卖家 发货 很快 千元 性价比,商品3.csv
手机发货好快，第二天就到了，白色也是很漂亮的，值得购买,5,已购 白色 12GB+256GB,j***i,131,手机发货好快第二天就到了白色也是很漂亮的值得购买,手机 发货 好快 第二天 白色 很漂亮 值得 购买,商品3.csv
手机挺好用的，外观精致漂亮手感好！性价比很高！,5,已购 白色 16GB+512GB,中***圆,132,手机挺好用的外观精致漂亮手感好性价比很高,手机 挺好用 外观 精致 漂亮 手感 性价比,商品3.csv
物流速度很快，系统流畅不卡顿，客服服务态度超级好，下次再来,5,已购 白色 12GB+256GB,jd_xu8t64u8s4nn3z,133,物流速度很快系统流畅不卡顿客服服务态度超级好下次再来,物流 速度 很快 系统 流畅 不卡顿 客服 服务态度 超级 下次,商品3.csv
买家服务态度很好，拍照清晰，反应灵敏，颜色好看,5,已购 黑色 12GB+256GB,20d57ry9o66bx0,134,买家服务态度很好拍照清晰反应灵敏颜色好看,买家 服务态度 拍照 清晰 反应 灵敏 颜色 好看,商品3.csv
手机收到做备用的。速度还是挺快的，喜欢的可以购买了，价格实惠,5,已购 白色 12GB+256GB,1***飞,135,手机收到做备用的速度还是挺快的喜欢的可以购买了价格实惠,手机 收到 备用 速度 还是 挺快 喜欢 可以 购买 价格 实惠,商品3.csv
手机运行流畅，拍照也很清晰主要是价格合适,5,已购 白色 12GB+256GB,wbs001,136,手机运行流畅拍照也很清晰主要是价格合适,手机 运行 流畅 拍照 清晰 主要 价格 合适,商品3.csv
给妈妈买的，机器性价比超级高，速度也很快，非常不错！,5,已购 白色 12GB+256GB,j***U,137,给妈妈买的机器性价比超级高速度也很快非常不错,妈妈 机器 性价比 超级 高速度 很快 非常 不错,商品3.csv
服务好，发货快很满意！手机是给爸爸买的，他说很好用！,5,已购 白色 12GB+256GB,赵陈陈晨,138,服务好发货快很满意手机是给爸爸买的他说很好用,服务 发货 满意 手机 爸爸,商品3.csv
手机质量很好，发货速度快，游戏也很流畅。非常满意！,5,已购 白色 12GB+256GB,白***9,139,手机质量很好发货速度快游戏也很流畅非常满意,手机 质量 发货 速度 游戏 流畅 非常 满意,商品3.csv
非常好，很喜欢的一款机器。运行很快,5,已购 樱花金 12GB+256GB,jd_182065sva,140,非常好很喜欢的一款机器运行很快,非常 喜欢 一款 机器运行 很快,商品3.csv
手机特别好用，不卡流畅，一直都在京东购买东西，京东配送速度也十分快速，质量特别好，服务也特别的不错，价格也不是特别贵，配送小哥十分的敬业，以后会继续支持京东下去！！,5,已购 白色 16GB+256GB,夏***暖,141,手机特别好用不卡流畅一直都在京东购买东西京东配送速度也十分快速质量特别好服务也特别的不错价格也不是特别贵配送小哥十分的敬业以后会继续支持京东下去,手机 特别 好用 不卡 流畅 一直 京东 购买 东西 京东 配送 速度 十分 快速 质量 特别 服务 特别 不错 价格 不是 特别 配送 小哥 十分 敬业 以后 继续 支持 京东 下去,商品3.csv
续航真的惊喜，早上满电出门，刷视频、回消息、拍拍照，晚上回家还剩30%+，重度使用者表示很满意。附几张实拍样张，暗光环境下也拍得挺清楚，性价比拉满！,5,已购 白色 12GB+256GB,u***q,142,续航真的惊喜早上满电出门刷视频回消息拍拍照晚上回家还剩重度使用者表示很满意附几张实拍样张暗光环境下也拍得挺清楚性价比拉满,续航 真的 惊喜 早上 满电 出门 视频 消息 拍拍 晚上 回家 重度 使用者 表示 满意 几张 实拍 样张 暗光 环境 清楚 性价比 拉满,商品3.csv
发货速度快，买的很满意，运行速度也快，拍照也好，京东买东西还是好，支持东哥,5,已购 黑色 12GB+256GB,5***u,143,发货速度快买的很满意运行速度也快拍照也好京东买东西还是好支持东哥,发货 速度 满意 运行 速度 拍照 也好 京东 东西 还是 支持 东哥,商品3.csv
手机物流很快就到，收到手机激活一看，性能满满的，电池很耐用，容量满意，真的当红不让,5,已购 白色 16GB+512GB,B***k,144,手机物流很快就到收到手机激活一看性能满满的电池很耐用容量满意真的当红不让,手机 物流 很快 收到 手机 激活 一看 性能 满满的 电池 耐用 容量 满意 真的 当红 不让,商品3.csv
手机收到了，性价比很高，价格划算，运行速度快，很满意的一次购物。比其他店便宜。,5,已购 白色 12GB+256GB,j***t,145,手机收到了性价比很高价格划算运行速度快很满意的一次购物比其他店便宜,手机 收到 性价比 价格 划算 运行 速度 满意 一次 购物 其他 便宜,商品3.csv
手机电池很耐用 基本上充一次电可以重度使用一天 很喜欢,5,已购 黑色 12GB+256GB,j***e,146,手机电池很耐用 基本上充一次电可以重度使用一天 很喜欢,手机电池 耐用 基本上 一次 可以 重度 使用 一天 喜欢,商品3.csv
小米手机性价比高，物美价廉，屏幕刷新快，相机像素高清，值得购买。国货之光。,5,已购 白色 12GB+256GB,j***y,147,小米手机性价比高物美价廉屏幕刷新快相机像素高清值得购买国货之光,小米 手机 性价比 物美价廉 屏幕 刷新 相机 像素 高清 值得 购买 国货 之光,商品3.csv
真的非常的好看非常喜欢拿到手的那个感觉非常爽！没有任何瑕疵和磕碰，客服的态度也非常好！,5,已购 白色 12GB+512GB,9***s,148,真的非常的好看非常喜欢拿到手的那个感觉非常爽没有任何瑕疵和磕碰客服的态度也非常好,真的 非常 好看 非常 喜欢 拿到 那个 感觉 非常 没有 任何 瑕疵 磕碰 客服 态度 非常,商品3.csv
颜值很高，手感很好，不要相信网上的差评，这绝对是目前性价比最高的手机，没有之一,5,已购 黑色 12GB+256GB,雾***0,149,颜值很高手感很好不要相信网上的差评这绝对是目前性价比最高的手机没有之一,颜值 高手 不要 相信 网上 差评 绝对 目前 性价比 最高 手机 没有 之一,商品3.csv
很好用，屏幕显示细腻，而且电池是真的耐用，正常使用一天一充,5,已购 白色 12GB+256GB,木***8,151,很好用屏幕显示细腻而且电池是真的耐用正常使用一天一充,屏幕显示 细腻 而且 电池 真的 耐用 正常 使用 一天 一充,商品3.csv
手机非常好 很丝滑很流畅 外观也很漂亮,5,已购 黑色 12GB+256GB,家***h,152,手机非常好 很丝滑很流畅 外观也很漂亮,手机 非常 很丝 流畅 外观 很漂亮,商品3.csv
手机是正品 外观很好看 也很流畅 好评,5,已购 黑色 12GB+256GB,甜***士,153,手机是正品 外观很好看 也很流畅 好评,手机 正品 外观 好看 流畅 好评,商品3.csv
非常好 物流也很快 大r角配上大屏幕使用体验非常不错,5,已购 黑色 12GB+256GB,j***c,154,非常好 物流也很快 大角配上大屏幕使用体验非常不错,非常 物流 很快 大角配 大屏幕 使用 体验 非常 不错,商品3.csv
送到很快，颜色很好看，使用很流畅,5,已购 樱花金 12GB+256GB,jd_d09355gvqww714,155,送到很快颜色很好看使用很流畅,送到 很快 颜色 好看 使用 流畅,商品3.csv
