评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
红米K80 12+512款，做工精细，内存充足，系统操作流畅，不卡顿。主流游戏都可以玩，满足日常多数用户的使用。照片像素高，拍照很好。屏幕色彩好，待机时间长。京东自营品质有保证，物流很快，服务很好，值得推荐的好手机，物美价廉。最优质的购物平台够最好的商品。,5,已购 汐月蓝 12GB+512GB,jd159629ryf,61,红米 款做工精细内存充足系统操作流畅不卡顿主流游戏都可以玩满足日常多数用户的使用照片像素高拍照很好屏幕色彩好待机时间长京东自营品质有保证物流很快服务很好值得推荐的好手机物美价廉最优质的购物平台够最好的商品,红米 做工 精细 内存 充足 系统 操作 流畅 不卡顿 主流 游戏 可以 满足 日常 多数 用户 使用 照片 像素 拍照 屏幕 色彩 待机时间 京东 自营 品质 保证 物流 很快 服务 值得 推荐 手机 物美价廉 优质 购物 平台 最好 商品,商品7.csv,1.0,正向
材质很好，质量也不错，到货也很快。K80手机不知道为什么不能享受国补。xiaomi手机一直再用，没有换过其它品牌。。。。。。,5,已购 汐月蓝 12GB+256GB,1scwe8h0ma70sa,62,材质很好质量也不错到货也很快手机不知道为什么不能享受国补手机一直再用没有换过其它品牌,材质 质量 不错 到货 很快 手机 知道 为什么 不能 享受 国补 手机 一直 再用 没有 其它 品牌,商品7.csv,0.9904,正向
自己买过好用，小米手机不卡顿，好用，之前用过k40三年没卡过，电池也耐用，工作内容多就换新k80，不错不错不错不错，值得推荐，这次员工活动用来抽奖,5,已购 玄夜黑 12GB+256GB,les199x72ze213,64,自己买过好用小米手机不卡顿好用之前用过三年没卡过电池也耐用工作内容多就换新不错不错不错不错值得推荐这次员工活动用来抽奖,自己 买过 小米 手机 不卡顿 之前 用过 三年 没卡过 电池 耐用 工作 内容 不错 不错 不错 不错 值得 推荐 这次 员工 活动 用来 抽奖,商品7.csv,1.0,正向
屏幕很亮，比以前的老手机颜色好一点，运行速度很快，足够日常使用，不玩游戏，所以不知道性能如何？拍照还行,5,已购 玄夜黑 12GB+512GB,活力小绅士_发达x8243,65,屏幕很亮比以前的老手机颜色好一点运行速度很快足够日常使用不玩游戏所以不知道性能如何拍照还行,屏幕 很亮 以前 手机 颜色 一点 运行 速度 很快 足够 日常 使用 玩游戏 所以 知道 性能 如何 拍照,商品7.csv,1.0,正向
用了几天才来评价，给老公买的，以前也一直用小米手机，这次他还是喜欢小米，老公很满意，价格也合适，谢谢商家和平台,5,已购 玄夜黑 16GB+512GB,琴***丽,66,用了几天才来评价给老公买的以前也一直用小米手机这次他还是喜欢小米老公很满意价格也合适谢谢商家和平台,几天 评价 老公 以前 一直 小米 手机 这次 还是 喜欢 小米 老公 满意 价格 合适 谢谢 商家 平台,商品7.csv,0.9004,正向
手机反应速度也很快，内存也很多，用起来上手也非常不错，价格也是挺满意的，性价比也是比较高 拍摄效果还是不错的。,5,已购 雪岩白 16GB+256GB,JIANGRUBING520,67,手机反应速度也很快内存也很多用起来上手也非常不错价格也是挺满意的性价比也是比较高 拍摄效果还是不错的,手机 反应速度 很快 内存 很多 起来 上手 非常 不错 价格 满意 性价比 比较 拍摄 效果 还是 不错,商品7.csv,1.0,正向
Redmi K80太香了！国补入手性价比拉满，第三代骁龙8性能强劲，游戏多任务都丝滑不卡顿。6550mAh超大电池续航顶流，一天重度使用无压力。澎湃OS流畅稳定，山峦青颜值高级、手感舒服。12+256GB够用好几年，千元价位旗舰体验，闭眼冲不亏！,5,已购 山峦青 12GB+256GB,-***-,69,太香了国补入手性价比拉满第三代骁龙性能强劲游戏多任务都丝滑不卡顿超大电池续航顶流一天重度使用无压力澎湃流畅稳定山峦青颜值高级手感舒服够用好几年千元价位旗舰体验闭眼冲不亏,太香 国补 入手 性价比 拉满 第三代 骁龙 性能 强劲 游戏 多任务 丝滑 不卡顿 超大 电池 续航 顶流 一天 重度 使用 压力 澎湃 流畅 稳定 山峦 青颜值 高级 手感 舒服 够用 好几年 千元 价位 旗舰 体验 闭眼 冲不亏,商品7.csv,1.0,正向
用了几天红米K80，性能强、续航顶、屏幕素质好，日常很稳。指纹解锁快，实用。拍照一般。综合来看是两千档很靠谱的手机，给老人用合适。,5,已购 雪岩白 16GB+256GB,-女皇陛下-,70,用了几天红米性能强续航顶屏幕素质好日常很稳指纹解锁快实用拍照一般综合来看是两千档很靠谱的手机给老人用合适,几天 红米 性能 续航 屏幕 素质 日常 很稳 指纹 解锁 实用 拍照 一般 综合 来看 两千 手机 老人 合适,商品7.csv,0.9997,正向
"Redmi K80太值了！享国家补贴性价比拉满
三代骁龙8性能强劲，游戏与多任务都流畅。
6550mAh大电池续航超顶，彻底告别电量焦虑。
澎湃OS流畅稳定，日常使用顺滑。雪岩白颜值
高、手感好，12GB+256GB大内存够用，5G信号
稳定。两千档性价比旗舰，红米真香！收",5,已购 雪岩白 16GB+256GB,jd_CzYvqlbKwhCY,71,"太值了享国家补贴性价比拉满
三代骁龙性能强劲游戏与多任务都流畅
大电池续航超顶彻底告别电量焦虑
澎湃流畅稳定日常使用顺滑雪岩白颜值
高手感好大内存够用信号
稳定两千档性价比旗舰红米真香收",太值 国家补贴 性价比 拉满 三代 骁龙 性能 强劲 游戏 多任务 流畅 电池 续航 超顶 彻底 告别 电量 焦虑 澎湃 流畅 稳定 日常 使用 滑雪 岩白 颜值 高手 感好 内存 够用 信号 稳定 两千 性价比 旗舰 红米 真香收,商品7.csv,1.0,正向
这款手机外观时尚，轻薄便携，握持感佳。性能强劲，运行流畅，玩游戏看视频都不卡顿。拍照清晰，色彩还原度高。电池续航也不错，很值得入手。,5,已购 玄夜黑 12GB+256GB,l1o1361atx54s0,72,这款手机外观时尚轻薄便携握持感佳性能强劲运行流畅玩游戏看视频都不卡顿拍照清晰色彩还原度高电池续航也不错很值得入手,手机 外观 时尚 轻薄 便携 握持 感佳 性能 强劲 运行 流畅 玩游戏 视频 不卡顿 拍照 清晰 色彩 还原 度高 电池 续航 不错 值得 入手,商品7.csv,1.0,正向
"外形外观：精致典雅，大气厚重
屏幕音效：屏幕清晰，色彩饱和
运行速度：运行流畅，不卡顿
待机时间：超长时间待机能力",5,已购 玄夜黑 12GB+256GB,j***加,73,"外形外观精致典雅大气厚重
屏幕音效屏幕清晰色彩饱和
运行速度运行流畅不卡顿
待机时间超长时间待机能力",外形 外观 精致 典雅 大气 厚重 屏幕 音效 屏幕 清晰 色彩 饱和 运行 速度 运行 流畅 不卡顿 待机时间 超长 时间 待机 能力,商品7.csv,1.0,正向
这个价位，红米K系列值得购买。做工挺好，流畅度不错，给父母日常使用非常合适。颜值做的也挺好，千元机里面算好看的了。,5,已购 玄夜黑 12GB+256GB,33594ue8kg91m9,75,这个价位红米系列值得购买做工挺好流畅度不错给父母日常使用非常合适颜值做的也挺好千元机里面算好看的了,这个 价位 红米 系列 值得 购买 做工 流畅 不错 父母 日常 使用 非常 合适 颜值 千元 里面 好看,商品7.csv,1.0,正向
京东快递次日达，我的红米note9卡的不要不要的，支付拍照得重启才行，用了将近5年，千元机已经很满足了，迫不及待的打开红米k80新机希望能够战斗5年,5,已购 山峦青 12GB+256GB,阿***8,76,京东快递次日达我的红米卡的不要不要的支付拍照得重启才行用了将近年千元机已经很满足了迫不及待的打开红米新机希望能够战斗年,京东 快递 次日 米卡 不要 不要 支付 拍照 重启 行用 将近 千元 已经 满足 迫不及待 打开 红米 新机 希望 能够 战斗,商品7.csv,0.0626,负向
手机不错，但是买完又降价了，不开心,3,已购 玄夜黑 12GB+512GB,什么玩意ly,78,手机不错但是买完又降价了不开心,手机 不错 但是 降价 开心,商品7.csv,0.8775,正向
这款小米K八零之前我有个朋友都是米粉，推荐我小孩用的，之前那个不知道是小米几，然后他玩的游戏比较内存比较大，然后现在换这个说这个还可以值得推荐入手，不会玩着玩着卡跟手机发烫,5,已购 汐月蓝 12GB+512GB,j***2,79,这款小米八零之前我有个朋友都是米粉推荐我小孩用的之前那个不知道是小米几然后他玩的游戏比较内存比较大然后现在换这个说这个还可以值得推荐入手不会玩着玩着卡跟手机发烫,小米 八零 之前 朋友 米粉 推荐 小孩 之前 那个 知道 小米 然后 游戏 比较 内存 比较 然后 现在 这个 这个 可以 值得 推荐 入手 不会 手机 发烫,商品7.csv,0.9836,正向
手机配送特别快，次日达非常划算，然后这个价格也是相当不错的。果普之后非常好，手机性能也很好，已经用了一段时间非常推荐，给爸爸买的用起来很流畅,5,已购 汐月蓝 12GB+256GB,一心求学好少年,80,手机配送特别快次日达非常划算然后这个价格也是相当不错的果普之后非常好手机性能也很好已经用了一段时间非常推荐给爸爸买的用起来很流畅,手机 配送 特别 次日 非常 划算 然后 这个 价格 相当 不错 果普 之后 非常 手机 性能 已经 一段时间 非常 推荐 爸爸 起来 流畅,商品7.csv,1.0,正向
早就想买一部红米手机，最近听说手机要涨价于是当即入手了K80 256GB，这部手机性价比极高，很满意。,5,已购 玄夜黑 12GB+256GB,79w8sz96j12wvv,81,早就想买一部红米手机最近听说手机要涨价于是当即入手了 这部手机性价比极高很满意,早就 一部 红米 手机 最近 听说 手机 涨价 于是 当即 入手 部手机 性价比 极高 满意,商品7.csv,0.9942,正向
"外形外观：外观好看轻薄
屏幕音效：屏幕显示效果很好双扬声器立体声听着听歌看视频不错
拍照效果：拍照还可以
运行速度：处理器速度快玩游戏都很好
待机时间：一天一冲差不多",5,已购 山峦青 12GB+256GB,小子萌文,83,"外形外观外观好看轻薄
屏幕音效屏幕显示效果很好双扬声器立体声听着听歌看视频不错
拍照效果拍照还可以
运行速度处理器速度快玩游戏都很好
待机时间一天一冲差不多",外形 外观 外观 好看 轻薄 屏幕 音效 屏幕显示 效果 扬声器 立体声 听歌 视频 不错 拍照 效果 拍照 可以 运行 速度 处理器 速度 玩游戏 待机时间 一天 一冲 差不多,商品7.csv,1.0,正向
给妈妈换的新手机，现在红米越来越经用了，越来越流畅，充电速度杠杠的，适合年纪大的用，价格实惠,5,已购 玄夜黑 12GB+256GB,jd_156290vrd,84,给妈妈换的新手机现在红米越来越经用了越来越流畅充电速度杠杠的适合年纪大的用价格实惠,妈妈 新手机 现在 红米 越来越 经用 越来越 流畅 充电 速度 杠杠 适合 年纪 价格 实惠,商品7.csv,0.999,正向
旧手机用的红米k60e这次有国补果断入手了k80，这颜值没得说，是真好看手感也好,5,已购 雪岩白 12GB+512GB,隔***7,85,旧手机用的红米这次有国补果断入手了这颜值没得说是真好看手感也好,手机 红米 这次 有国补 果断 入手 颜值 没得说 好看 手感 也好,商品7.csv,0.9956,正向
用着还不错，里面挺流畅，容量都比较大，平时存个视频，照片啥的完全够用，原来的60丢了，这是新买的,5,已购 玄夜黑 16GB+1TB,冲浪二族,86,用着还不错里面挺流畅容量都比较大平时存个视频照片啥的完全够用原来的丢了这是新买的,不错 里面 流畅 容量 比较 平时 存个 视频 照片 完全 够用 原来,商品7.csv,0.9982,正向
从k30换过来的，手感很好，用起来也很顺畅，屏幕音效都很不错，红米还是相当好用的，快递也很快。,5,已购 玄夜黑 12GB+256GB,j***j,87,从换过来的手感很好用起来也很顺畅屏幕音效都很不错红米还是相当好用的快递也很快,换过来 手感 起来 顺畅 屏幕 音效 不错 红米 还是 相当 好用 快递 很快,商品7.csv,0.9999,正向
还行吧，CPU性能也比较强，屏幕亮度还可以，不会像k401样那么差，自动调节也还行，手感也还可以,5,已购 雪岩白 12GB+512GB,jianshouzhi,88,还行吧性能也比较强屏幕亮度还可以不会像样那么差自动调节也还行手感也还可以,还行 性能 比较 屏幕 亮度 可以 不会 像样 那么 自动 调节 还行 手感 可以,商品7.csv,0.7009,中性
有国补就是实惠，京东送货上门需要当面激活。手机手感超好，拍照性能都满意，电池也够大。,5,已购 玄夜黑 12GB+256GB,liiu,90,有国补就是实惠京东送货上门需要当面激活手机手感超好拍照性能都满意电池也够大,有国补 就是 实惠 京东 送货上门 需要 当面 激活 手机 手感 超好 拍照 性能 满意 电池,商品7.csv,0.9991,正向
软件启动很快，外放声音刚好，操作很流畅，屏幕色彩很鲜艳，快递也很快，还用国补，比较实惠。,5,已购 玄夜黑 12GB+512GB,jd_156753yyn,91,软件启动很快外放声音刚好操作很流畅屏幕色彩很鲜艳快递也很快还用国补比较实惠,软件 启动 很快 外放 声音 刚好 操作 流畅 屏幕 色彩 鲜艳 快递 很快 还用 国补 比较 实惠,商品7.csv,0.9995,正向
"红米K80设计很精致，颜色也很耐看，性能表现让我很满意。
充电特别快，电量很大，可以用很久，值得购买",5,已购 雪岩白 12GB+256GB,Like小时光,92,"红米设计很精致颜色也很耐看性能表现让我很满意
充电特别快电量很大可以用很久值得购买",红米 设计 精致 颜色 耐看 性能 表现 满意 充电 特别 电量 很大 可以 值得 购买,商品7.csv,1.0,正向
"拍照效果：很好
运行速度：快
待机时间：电池容量大
其他特色：送的手机壳很有质感
屏幕音效：屏幕护眼",5,已购 雪岩白 12GB+256GB,jd_e3hhri738rg7jc,93,"拍照效果很好
运行速度快
待机时间电池容量大
其他特色送的手机壳很有质感
屏幕音效屏幕护眼",拍照 效果 运行 速度 待机时间 电池容量 其他 特色 手机 质感 屏幕 音效 屏幕 护眼,商品7.csv,0.9997,正向
手感不错，拍照不错，玩游戏挺流程，淡蓝色款个人挺喜欢的，然后年后又给长辈买了一个同款,5,已购 汐月蓝 12GB+512GB,霁月巧晴,94,手感不错拍照不错玩游戏挺流程淡蓝色款个人挺喜欢的然后年后又给长辈买了一个同款,手感 不错 拍照 不错 玩游戏 流程 淡蓝色 个人 喜欢 然后 长辈 一个 同款,商品7.csv,1.0,正向
红米K80真香！骁龙8 Gen3性能强劲，2K屏清晰护眼，6550mAh大电池续航超顶，系统流畅不卡顿，京东发货快，正品放心，性价比超高！,5,已购 雪岩白 12GB+256GB,罗汉果是我,95,红米真香骁龙 性能强劲屏清晰护眼大电池续航超顶系统流畅不卡顿京东发货快正品放心性价比超高,红米 真香 骁龙 性能 强劲 清晰 护眼 电池 续航 超顶 系统 流畅 不卡顿 京东 发货 正品 放心 性价比 超高,商品7.csv,1.0,正向
拍照清晰，屏幕清晰，90W充电速度很快，手机声音效果也挺好，京东快递也很给力，运行速度快,5,已购 山峦青 12GB+256GB,jd_mb24z4zxx8gh2x,96,拍照清晰屏幕清晰充电速度很快手机声音效果也挺好京东快递也很给力运行速度快,拍照 清晰 屏幕 清晰 充电 速度 很快 手机 声音 效果 京东 快递 运行 速度,商品7.csv,0.9991,正向
手机用着不错内存大拍照清晰，操作流畅，刷视频玩游戏感觉都挺好的，非常非常非常喜欢,5,已购 山峦青 12GB+512GB,傅诗淇vs文淇儿,97,手机用着不错内存大拍照清晰操作流畅刷视频玩游戏感觉都挺好的非常非常非常喜欢,手机 不错 内存 拍照 清晰 操作 流畅 视频 玩游戏 感觉 非常 非常 非常 喜欢,商品7.csv,0.9996,正向
"拍照效果：还行 不要抱有过高期望 它主要优势在于游戏
待机时间：挺快的
屏幕音效：物超所值",5,已购 汐月蓝 12GB+256GB,jd_8o0awvw16av8ir,98,"拍照效果还行 不要抱有过高期望 它主要优势在于游戏
待机时间挺快的
屏幕音效物超所值",拍照 效果 不要 期望 主要 优势 在于 游戏 待机时间 挺快 屏幕 音效 物超所值,商品7.csv,1.0,正向
红米K80性价比之王6000多毫安电池90万快充屏幕2K虽然不是最好，但已经是这个价位里面的知网还有超声波指纹解锁骁龙八芯片,5,已购 汐月蓝 12GB+256GB,冰蓝99999,99,红米性价比之王多毫安电池万快充屏幕虽然不是最好但已经是这个价位里面的知网还有超声波指纹解锁骁龙八芯片,红米 性价比 之王 毫安 电池 万快 屏幕 虽然 不是 最好 已经 这个 价位 里面 知网 还有 超声波 指纹 解锁 骁龙八 芯片,商品7.csv,0.9998,正向
手机手感很好，运行流畅不卡顿，拍照清晰色彩自然，续航够用，整体性价比高，用着很满意，推荐入手。,5,已购 汐月蓝 12GB+512GB,j***k,100,手机手感很好运行流畅不卡顿拍照清晰色彩自然续航够用整体性价比高用着很满意推荐入手,手机 手感 运行 流畅 不卡顿 拍照 清晰 色彩 自然 续航 够用 整体 性价比 高用 满意 推荐 入手,商品7.csv,1.0,正向
这手机真好用，感觉特别流畅，玩游戏也很流畅，拍照很清晰，外观很好看，下次还来，大家可以买来试试。,5,已购 山峦青 12GB+256GB,小***辉,101,这手机真好用感觉特别流畅玩游戏也很流畅拍照很清晰外观很好看下次还来大家可以买来试试,手机 真好 感觉 特别 流畅 玩游戏 流畅 拍照 清晰 外观 好看 下次 还来 大家 可以 买来 试试,商品7.csv,1.0,正向
手机特别好，不卡顿，跑分高，性价比很高，处理器也不错😊，电池很大，支持快充，真棒。,5,已购 玄夜黑 12GB+512GB,迷***-,102,手机特别好不卡顿跑分高性价比很高处理器也不错电池很大支持快充真棒,手机 特别 不卡顿 高性价比 处理器 不错 电池 很大 支持 快充 真棒,商品7.csv,1.0,正向
"这款手机自拍很好看    屏幕色彩非常鲜艳
外放声音很大
运行速度很快   打游戏很流畅",5,已购 玄夜黑 12GB+256GB,可斯威尔的明天,103,"这款手机自拍很好看    屏幕色彩非常鲜艳
外放声音很大
运行速度很快   打游戏很流畅",手机 自拍 好看 屏幕 色彩 非常 鲜艳 外放 声音 很大 运行 速度 很快 打游戏 流畅,商品7.csv,0.9999,正向
🌟这款手机真的太棒了！🔋待机时间超长，一整天都不用充电，完全不用担心断电问题～🔊,5,已购 雪岩白 12GB+256GB,周***7,104,这款手机真的太棒了待机时间超长一整天都不用充电完全不用担心断电问题,手机 真的 太棒了 待机时间 超长 一整天 不用 充电 完全 不用 担心 断电 问题,商品7.csv,0.919,正向
红米K80手机外观时尚，轻薄便携。性能强劲，运行流畅，游戏体验佳。拍照清晰，色彩还原度高。电池续航给力，充电速度快，很值得入手。,5,已购 汐月蓝 16GB+512GB,竹影清风静水流深,105,红米手机外观时尚轻薄便携性能强劲运行流畅游戏体验佳拍照清晰色彩还原度高电池续航给力充电速度快很值得入手,红米 手机 外观 时尚 轻薄 便携 性能 强劲 运行 流畅 游戏 体验 拍照 清晰 色彩 还原 度高 电池 续航 给力 充电 速度 值得 入手,商品7.csv,1.0,正向
k80超级好用，外形外观是山峦青，拿到手里手感很棒，拍照效果嘎嘎棒，剪辑视频也贼快，待机时间超久,5,已购 山峦青 12GB+256GB,y308gy05alppf7,106,超级好用外形外观是山峦青拿到手里手感很棒拍照效果嘎嘎棒剪辑视频也贼快待机时间超久,超级 好用 外形 外观 山峦 拿到 手里 手感 很棒 拍照 效果 嘎嘎 剪辑 视频 待机时间 超久,商品7.csv,1.0,正向
"外形外观：给家里人用，好看
屏幕音效：清晰
拍照效果：嘎嘎好
运行速度：反应中规中矩
待机时间：两天",5,已购 玄夜黑 12GB+256GB,axj302,107,"外形外观给家里人用好看
屏幕音效清晰
拍照效果嘎嘎好
运行速度反应中规中矩
待机时间两天",外形 外观 家里人 好看 屏幕 音效 清晰 拍照 效果 嘎嘎 运行 速度 反应 中规中矩 待机时间 两天,商品7.csv,1.0,正向
手机买回来很满意，特别这个手机的外形外观都十分的完美，屏幕音效也很丝滑，拍照效果色彩分明，完美极了,5,已购 玄夜黑 12GB+256GB,扎扎9527,108,手机买回来很满意特别这个手机的外形外观都十分的完美屏幕音效也很丝滑拍照效果色彩分明完美极了,手机 买回来 满意 特别 这个 手机 外形 外观 十分 完美 屏幕 音效 拍照 效果 色彩 分明 完美 极了,商品7.csv,1.0,正向
手机很小，小米我一直都在用，摄像头，电视都是小米家的，妈妈用的也是小米！这个拍照好看！,5,已购 雪岩白 16GB+512GB,j***h,109,手机很小小米我一直都在用摄像头电视都是小米家的妈妈用的也是小米这个拍照好看,手机 很小 小米 一直 摄像头 电视 小米 妈妈 小米 这个 拍照 好看,商品7.csv,0.9999,正向
"外形外观：时尚大气
屏幕音效：非常不错
拍照效果：还可以
运行速度：不错
待机时间：2天",5,已购 玄夜黑 16GB+1TB,桑***云,110,"外形外观时尚大气
屏幕音效非常不错
拍照效果还可以
运行速度不错
待机时间天",外形 外观 时尚 大气 屏幕 音效 非常 不错 拍照 效果 可以 运行 速度 不错 待机时间,商品7.csv,1.0,正向
习惯了红米的操作系统，还是从k50换到k80，使用起来比较流畅，性能也明显得到提升，内存比较大，告别了存储焦虑。在京东上买的，质量放心，不到12小时就收到货了，物流很快，价格也不贵。,5,已购 玄夜黑 12GB+512GB,dyux007,111,习惯了红米的操作系统还是从换到使用起来比较流畅性能也明显得到提升内存比较大告别了存储焦虑在京东上买的质量放心不到小时就收到货了物流很快价格也不贵,习惯 红米 操作系统 还是 从换 使用 起来 比较 流畅 性能 明显 得到 提升 内存 比较 告别 存储 焦虑 京东 质量 放心 不到 小时 收到 物流 很快 价格 不贵,商品7.csv,0.989,正向
"外形外观：外观还可以，金属边框和后盖
屏幕音效：屏幕显示可以，老人用足够了
拍照效果：拍照效果平常生活中使用足够
运行速度：运行速度12+256的，日常使用也够的
待机时间：待机时间一天没问题
其他特色：12月份家里老人手机坏了，在京东下单还有补贴，到手价1574.1，不知道和双十一双十二的价格差多少",5,已购 汐月蓝 12GB+256GB,嗨***吖,112,"外形外观外观还可以金属边框和后盖
屏幕音效屏幕显示可以老人用足够了
拍照效果拍照效果平常生活中使用足够
运行速度运行速度的日常使用也够的
待机时间待机时间一天没问题
其他特色月份家里老人手机坏了在京东下单还有补贴到手价不知道和双十一双十二的价格差多少",外形 外观 外观 可以 金属 边框 屏幕 音效 屏幕显示 可以 老人 足够 拍照 效果 拍照 效果 平常 生活 使用 足够 运行 速度 运行 速度 日常 使用 待机时间 待机时间 一天 问题 其他 特色 月份 家里 老人 手机 京东 下单 还有 补贴 到手 价不 知道 双十 一双 十二 价格 多少,商品7.csv,1.0,正向
"全新未拆封新机，颜值高，运行速度快，游戏不卡，音效不错，整体感觉满意！   
       前两部手机都是是红米的note9pro和note13pro，小金刚是真的耐摔，质量真好。这是第一次买K系列的，冲着颜值去的。背板上下两节材质不一样，13的背板全是k80的上半截这种，玻璃手感的防刮层，k80背板塑料感太强了，这个用起来得保护好了。
       简而言之，我个人觉得红米的note系列和K系列就是一个当儿子养一个当闺女养。",5,已购 山峦青 12GB+256GB,叮了个铛叮咚锵,114,"全新未拆封新机颜值高运行速度快游戏不卡音效不错整体感觉满意   
       前两部手机都是是红米的和小金刚是真的耐摔质量真好这是第一次买系列的冲着颜值去的背板上下两节材质不一样的背板全是的上半截这种玻璃手感的防刮层背板塑料感太强了这个用起来得保护好了
       简而言之我个人觉得红米的系列和系列就是一个当儿子养一个当闺女养",全新 拆封 新机 颜值 运行 速度 游戏 不卡 音效 不错 整体 感觉 满意 两部 手机 红米 小金刚 真的 质量 真好 第一次 系列 冲着 颜值 背板 上下 两节 材质 一样 背板 全是 半截 这种 玻璃 手感 防刮层 背板 塑料 感太强 这个 起来 保护 简而言之 个人 觉得 红米 系列 系列 就是 一个 儿子 一个 闺女,商品7.csv,0.9997,正向
用了几天，K80真的很不错。打游戏流畅不发热，2K屏幕看视频特别清晰。续航给力，白天用一天晚上还有电。机身手感也很好。这个配置对应这个价格，我觉得是性价比很高的手机了，值得推荐。,5,已购 玄夜黑 12GB+512GB,风***7,115,用了几天真的很不错打游戏流畅不发热屏幕看视频特别清晰续航给力白天用一天晚上还有电机身手感也很好这个配置对应这个价格我觉得是性价比很高的手机了值得推荐,几天 真的 不错 打游戏 流畅 发热 屏幕 视频 特别 清晰 续航 给力 白天 一天 晚上 还有 电机 身手 这个 配置 对应 这个 价格 觉得 性价比 手机 值得 推荐,商品7.csv,1.0,正向
"外形外观：看起来蛮不错的，手感握起来很舒服
屏幕音效：用习惯以前的屏幕，这个屏幕显示会较一般，音效还不错，外放挺大声的
其他特色：没有用多久，各个软件启动都很快的，操作也流畅",5,已购 玄夜黑 16GB+256GB,倍***钱,116,"外形外观看起来蛮不错的手感握起来很舒服
屏幕音效用习惯以前的屏幕这个屏幕显示会较一般音效还不错外放挺大声的
其他特色没有用多久各个软件启动都很快的操作也流畅",外形 外观 看起来 不错 手感 起来 舒服 屏幕 音效 习惯 以前 屏幕 这个 屏幕显示 一般 音效 不错 外放 大声 其他 特色 没有 多久 各个 软件 启动 很快 操作 流畅,商品7.csv,1.0,正向
"外形外观：这款红米手机外观已经很不错了！
屏幕音效：屏幕效果相比价格，已经非常可以了，音效也可以，很不错了
拍照效果：红米达到这样的效果就很可以了，能清楚拍摄
运行速度：CPU和我用的小米14一个级别的，还要怎么样",5,已购 玄夜黑 16GB+512GB,79k1yo9h8t8ng7,117,"外形外观这款红米手机外观已经很不错了
屏幕音效屏幕效果相比价格已经非常可以了音效也可以很不错了
拍照效果红米达到这样的效果就很可以了能清楚拍摄
运行速度和我用的小米一个级别的还要怎么样",外形 外观 这款 红米 手机 外观 已经 不错 屏幕 音效 屏幕 效果 相比 价格 已经 非常 可以 音效 可以 不错 拍照 效果 红米 达到 这样 效果 可以 清楚 拍摄 运行 速度 小米 一个 级别 还要 怎么样,商品7.csv,1.0,正向
1. 这款手机太香了！旗舰芯片运行丝滑，多开APP不卡顿，游戏满帧无压力。120Hz高刷屏清晰护眼，触控跟手。5000万像素主摄拍照超清晰，夜景也能轻松出片。6500mAh大电池续航超强，一天一充无压力，快充半小时回血。机身轻薄手感好，颜值在线，性价比拉满，日常办公娱乐都够用，真心推荐！,5,已购 玄夜黑 12GB+256GB,奶驴超人,118,这款手机太香了旗舰芯片运行丝滑多开不卡顿游戏满帧无压力高刷屏清晰护眼触控跟手万像素主摄拍照超清晰夜景也能轻松出片大电池续航超强一天一充无压力快充半小时回血机身轻薄手感好颜值在线性价比拉满日常办公娱乐都够用真心推荐,手机 太香 旗舰 芯片 运行 丝滑 多开 不卡顿 游戏 满帧 压力 刷屏 清晰 护眼 触控 像素 主摄 拍照 清晰 夜景 轻松 出片 电池 续航 超强 一天 一充 压力 快充 半小时 回血 机身 轻薄 手感 好颜值 在线 性价比 拉满 日常 办公 娱乐 够用 真心 推荐,商品7.csv,1.0,正向
第一次用红米手机，发货很快，第二天就到了，手机的质感很好，手机很流畅，打游戏可以稳定高清120帧，电池容量大，一局游戏后电量为95，非常满意。,5,已购 玄夜黑 12GB+256GB,AAAA燕子A,119,第一次用红米手机发货很快第二天就到了手机的质感很好手机很流畅打游戏可以稳定高清帧电池容量大一局游戏后电量为非常满意,第一次 用红米 手机 发货 很快 第二天 手机 质感 手机 流畅 打游戏 可以 稳定 高清 电池容量 一局 游戏 电量 非常 满意,商品7.csv,0.9999,正向
很轻巧，很丝滑，拍照像素，像素很高，拍出来的照片特别好看，自带美颜功效，使用了一个月，目前来说没有任何卡顿的现象，充电也特别快，双12趁着有活动买的相对比较划算，，，,5,已购 山峦青 12GB+512GB,溶儿爱吃肉,120,很轻巧很丝滑拍照像素像素很高拍出来的照片特别好看自带美颜功效使用了一个月目前来说没有任何卡顿的现象充电也特别快双趁着有活动买的相对比较划算,轻巧 很丝滑 拍照 像素 像素 出来 照片 特别 好看 自带 美颜 功效 使用 一个月 目前 来说 没有 任何 卡顿 现象 充电 特别 快双 趁着 活动 相对 比较 划算,商品7.csv,1.0,正向
"外形外观：有点丑 不过都是带壳也没事
屏幕音效：2k屏幕看着还是很舒服的
拍照效果：还行够用给父母用的
运行速度：够用
待机时间：待机时间挺长的",5,已购 雪岩白 12GB+256GB,清***o,121,"外形外观有点丑 不过都是带壳也没事
屏幕音效屏幕看着还是很舒服的
拍照效果还行够用给父母用的
运行速度够用
待机时间待机时间挺长的",外形 外观 有点 不过 没事 屏幕 音效 屏幕 看着 还是 舒服 拍照 效果 够用 父母 运行 速度 够用 待机时间 待机时间 挺长,商品7.csv,1.0,正向
